"country_name","cc3","cc2","per_cellular","per_broadband","per_penetration","category","timezone"
"Algeria","DZA","DZ",115.8480539,7.042218731,42.94552688,"upper_middle_income","UTC +01:00"
"Angola","AGO","AO",45.12169884,0.427352311,13,"lower_middle_income","UTC +01:00"
"Benin","BEN","BJ",81.7903446,0.204970467,11.99404791,"low_income","UTC +01:00"
"Botswana","BWA","BW",146.1602659,2.624452286,39.36299738,"upper_middle_income","UTC +02:00"
"Burkina Faso","BFA","BF",82.61118896,0.074303756,13.96,"low_income","UTC"
"Burundi","BDI","BI",50.90988631,0.03748533,5.173626777,"low_income","UTC +02:00"
"Cabo Verde","CPV","CV",111.5642375,2.880309882,50.32281787,"lower_middle_income","UTC"
"Cameroon","CMR","CM",79.85559142,0.196141599,25,"lower_middle_income","UTC +01:00"
"Central African Republic","CAF","CF",27.16972738,"",4,"low_income","UTC +01:00"
"Chad","TCD","TD",38.64862398,0.072443998,5,"low_income","UTC +01:00"
"Comoros","COM","KM",57.11267331,0.20537933,7.938322771,"low_income","UTC +03:00"
"Congo Dem. Rep","COD","CD",36.6912986,0.001270065,6.20997406,"low_income","UTC +01:00"
"Congo Rep.","COG","CG",105.8171949,"",8.121949323,"lower_middle_income","UTC +01:00"
"Cote d'Ivoire","CIV","CI",115.8480074,0.575542143,41.21,"lower_middle_income","UTC"
"Djibouti","DJI","DJ",36.63736705,2.576053264,13.13491511,"lower_middle_income","UTC +03:00"
"Egypt","EGY","EG",102.1975013,4.670525242,41.24806709,"lower_middle_income","UTC +02:00"
"Equatorial Guinea","GNQ","GQ",47.12686964,0.276874964,23.77999997,"upper_middle_income","UTC +01:00"
"Eritrea","ERI","ER",10.21263885,0.012109848,1.17711872,"low_income","UTC +03:00"
"Eswatini","SWZ","SZ",74.08245713,0.521183115,28.57352278,"lower_middle_income","UTC +02:00"
"Ethiopia","ETH","ET",50.02187627,0.5458814,15.36692386,"low_income","UTC +03:00"
"Gabon","GAB","GA",149.6366779,0.758566835,48.05227375,"upper_middle_income","UTC +01:00"
"Gambia","GMB","GM",139.2261765,0.183958703,18.5,"low_income","UTC"
"Ghana","GHA","GH",135.8012103,0.307004769,34.66600065,"lower_middle_income","UTC"
"Guinea","GIN","GN",87.12541316,0.008873885,9.8,"low_income","UTC"
"Guinea-Bissau","GNB","GW",70.81766902,0.039709247,3.761413832,"low_income","UTC"
"Kenya","KEN","KE",80.43938819,0.315697592,16.6,"lower_middle_income","UTC +03:00"
"Lesotho","LSO","LS",103.5890392,0.101187891,27.36,"lower_middle_income","UTC +02:00"
"Liberia","LBR","LR",67.55790155,0.173392001,7.319106411,"low_income","UTC"
"Libya","LBY","LY",121.7187359,2.684144432,20.27215956,"upper_middle_income","UTC +02:00"
"Madagascar","MDG","MG",32.12852885,0.105987049,4.713662899,"low_income","UTC +03:00"
"Malawi","MWI","MW",39.67804904,0.048044463,11.47,"low_income","UTC +02:00"
"Mali","MLI","ML",112.3527654,0.119167515,11.11218649,"low_income","UTC"
"Mauritania","MRT","MR",84.03061787,0.247406544,18,"lower_middle_income","UTC"
"Mauritius","MUS","MU",143.725062,16.84451389,52.19132594,"upper_middle_income","UTC +04:00"
"Morocco","MAR","MA",117.6805988,3.558793593,58.27123642,"lower_middle_income","UTC +01:00"
"Mozambique","MOZ","MZ",52.11887306,0.161636653,17.52123909,"low_income","UTC +02:00"
"Namibia","NAM","NA",107.2685024,2.594776089,31.03334594,"upper_middle_income","UTC +02:00"
"Niger","NER","NE",36.14282735,0.037280534,4.32275803,"low_income","UTC +01:00"
"Nigeria","NGA","NG",82.98428235,0.058030652,25.67,"lower_middle_income","UTC +01:00"
"Rwanda","RWA","RW",74.86072592,0.182261258,20,"low_income","UTC +02:00"
"Sao Tome and Principe","STP","ST",89.06357861,0.712820769,28,"lower_middle_income","UTC"
"Senegal","SEN","SN",98.53922503,0.638174561,25.66476804,"low_income","UTC"
"Seychelles","SYC","SC",161.1591035,14.89472344,56.51470815,"high_income","UTC +03:00"
"Sierra Leone","SLE","SL",84.89871136,"",11.77318438,"low_income","UTC"
"Somalia","SOM","SO",46.46627922,0.642548021,1.88,"low_income","UTC +03:00"
"South Africa","ZAF","ZA",147.1252059,2.054378796,54,"upper_middle_income","UTC +02:00"
"Sudan","SDN","SD",70.25800006,0.065646209,28,"lower_middle_income","UTC +02:00"
"Tanzania","TZA","TZ",72.05794494,3.325704159,13,"low_income","UTC +03:00"
"Togo","TGO","TG",72.37908628,0.589729088,11.31,"low_income","UTC"
"Tunisia","TUN","TN",125.2457019,5.614777474,49.6,"lower_middle_income","UTC +01:00"
"Uganda","UGA","UG",55.04846044,0.260940733,21.87617046,"low_income","UTC +03:00"
"Zambia","ZMB","ZM",72.42933835,0.191569242,25.50657885,"lower_middle_income","UTC +02:00"
"Zimbabwe","ZWE","ZW",79.74388438,1.057796723,23.11998904,"low_income","UTC +02:00"
